date,item_id,inventory_level,sales,incoming_stock
2024-01-01,C303,476,60,86
2024-01-02,A101,382,63,84
2024-01-03,C303,732,17,93
2024-01-04,C303,727,36,62
2024-01-05,A101,844,36,63
2024-01-06,A101,358,30,48
2024-01-07,C303,458,39,31
2024-01-08,B202,809,37,114
2024-01-09,C303,555,73,65
2024-01-10,C303,510,78,149
2024-01-11,C303,748,70,54
2024-01-12,C303,417,57,100
2024-01-13,A101,776,28,109
2024-01-14,C303,324,13,27
2024-01-15,B202,918,44,112
2024-01-16,A101,333,73,109
2024-01-17,B202,783,58,134
2024-01-18,B202,763,26,124
2024-01-19,B202,926,53,77
2024-01-20,B202,473,39,133
2024-01-21,A101,771,55,94
2024-01-22,A101,707,15,139
2024-01-23,B202,571,46,40
2024-01-24,B202,332,33,120
2024-01-25,A101,791,55,118
2024-01-26,A101,212,62,55
2024-01-27,A101,929,69,115
2024-01-28,C303,596,72,56
2024-01-29,C303,541,94,31
2024-01-30,C303,663,41,132
2024-01-31,B202,367,96,32
2024-02-01,C303,609,42,42
2024-02-02,B202,906,76,118
2024-02-03,B202,485,27,124
2024-02-04,C303,486,34,49
2024-02-05,B202,212,63,36
2024-02-06,C303,712,67,132
2024-02-07,C303,724,76,81
2024-02-08,A101,180,55,103
2024-02-09,C303,798,33,131
2024-02-10,A101,212,41,105
2024-02-11,C303,101,56,38
2024-02-12,C303,741,95,119
2024-02-13,A101,319,32,95
2024-02-14,A101,665,75,28
2024-02-15,C303,954,36,47
2024-02-16,B202,835,11,147
2024-02-17,A101,324,99,71
2024-02-18,B202,484,26,102
2024-02-19,B202,502,42,130
2024-02-20,B202,737,18,136
2024-02-21,A101,229,52,88
2024-02-22,B202,152,57,118
2024-02-23,A101,783,48,44
2024-02-24,B202,829,51,142
2024-02-25,C303,771,35,72
2024-02-26,C303,809,59,76
2024-02-27,A101,515,34,58
2024-02-28,C303,346,33,128
2024-02-29,C303,935,22,61
2024-03-01,B202,538,69,141
2024-03-02,A101,302,16,94
2024-03-03,B202,283,66,95
2024-03-04,B202,222,45,28
2024-03-05,B202,500,54,93
2024-03-06,B202,866,29,26
2024-03-07,B202,393,74,46
2024-03-08,B202,379,17,141
2024-03-09,B202,936,25,24
2024-03-10,A101,983,23,48
2024-03-11,C303,709,85,102
2024-03-12,B202,297,96,128
2024-03-13,B202,610,24,84
2024-03-14,B202,851,75,105
2024-03-15,B202,243,41,90
2024-03-16,B202,708,96,64
2024-03-17,B202,300,72,55
2024-03-18,C303,223,95,89
2024-03-19,C303,286,60,38
2024-03-20,B202,425,34,127
2024-03-21,C303,563,67,110
2024-03-22,A101,448,72,109
2024-03-23,B202,870,71,38
2024-03-24,A101,759,31,58
2024-03-25,A101,863,67,145
2024-03-26,B202,502,67,145
2024-03-27,C303,445,95,77
2024-03-28,A101,610,58,80
2024-03-29,B202,246,61,146
2024-03-30,A101,247,51,124
2024-03-31,A101,963,79,20
2024-04-01,A101,810,24,111
2024-04-02,A101,919,63,132
2024-04-03,C303,588,69,75
2024-04-04,A101,739,17,136
2024-04-05,A101,650,62,77
2024-04-06,A101,437,69,63
